raw_row_index,en,vi
77686,iPhone 15 boxes have new security mechanism to prove authenticity,Tr hộp iPhone 15 có cơ chế bảo mật mới để chứng minh tính xác thực
30880,"Code more accurately and quickly with Microsoft Visual Studio Professional 2022, now only $40","Lập trình chính xác và nhanh hơn với Microsoft Visual Studio Professional 2022, hiện chỉ có 40 triệu USD."
59310,"Clayful, a startup that helps students connect to mental health experts within 60 seconds, raises $7M","Clayful, một công ty khởi nghiệp giúp sinh viên kết nối với các chuyên gia sức khỏe tâm thần trong vòng 60 giây, huy động được 7 triệu USD"
67043,Your new M3 MacBook Pro or iMac can now be upgraded to MacOS Sonoma,MacBook Pro hoặc iMac M3 mới của bạn hiện có thể được nâng cấp lên MacOS Sonoma
38534,Nothing Phone (2a) unboxed in London,Nothing Phone (2a) được mở hộp ở London
87718,Stearns & Foster Mattress Reviews 2023: Trust This Industry Veteran for Premium Sleep     - CNET,Thông tin về nệm Stearns & Foster năm 2023: Tin tưởng cựu chiến binh ngành này về giấc ngủ cao cấp - CNET
4688,Gurman: Table-top robot will be Apple’s first home device with Apple Intelligence features,Gurman: Máy robot mặt bàn sẽ là thiết bị gia đình đầu tiên của Apple có tính năng Apple Intelligence
16098,EU’s ChatGPT taskforce offers first look at detangling the AI chatbot’s privacy compliance,Cơ quan của EU về ChatGPT cung cấp nhìn thoáng qua về việc giải quyết sự vi phạm quyền riêng tư của chatbot trí tuệ nhân tạo
64187,"The universe began with two big bangs, new study claims","Vũ trụ bắt đầu với hai vụ nổ lớn, nghiên cứu mới khẳng định"
11512,Aspark just set a world EV speed record with the SP600 prototype,Aspark vừa thiết lập kỷ lục tốc độ thế giới về xe điện với mẫu SP600 của mình
74898,"AllTrails finally has a Wear OS watch app, works offline and with downloaded maps","AllTrails cuối cùng cũng có ứng dụng đồng hồ Wear OS, hoạt động ngoại tuyến và có bản đồ đã tải xuống"
99504,5 Ordinary Home Items Perfect For Cleaning Your iPhone,5 vật dụng gia đình thông thường hoàn hảo để làm sạch iPhone của bạn
278,Xiaomi announces local production of wireless audio products in India,Xiaomi công bố sản xuất sản phẩm âm thanh không dây tại Ấn Độ
100397,Google's AI-Powered Tool Summarizes Web Pages for Instant Insights     - CNET,Công cụ hỗ trợ AI của Google tóm tắt các trang web để có thông tin chi tiết tức thì - CNET
96454,"Don't Think of Superman: Legacy as a ""Young Superman"" Film, Says James Gunn","Đừng nghĩ Superman: Legacy là một bộ phim &quot;Siêu nhân trẻ&quot;, James Gunn nói"
67738,Apple rolls out much-needed fix for Apple Watch battery drain issue,Apple đưa ra bản sửa lỗi rất cần thiết cho vấn đề hao pin của Apple Watch
83701,Jabra's Elite 10 are its first wireless earbuds to feature Dolby Atmos,Elite 10 của Jabra là tai nghe không dây đầu tiên có Dolby Atmos
9314,Family whose roof was damaged by space debris files claims against NASA,Gia đình có mái nhà bị hư hỏng bởi vật liệu trong không gian đệ đơn kiện NASA
96669,You can (sort of) try out Samsung's new foldables on an iPhone,Bạn có thể (đại loại) dùng thử các thiết bị có thể gập lại mới của Samsung trên iPhone
6529,Teardown finally reveals the secretive Huawei chip powering Raspberry Pi competitor — Orange Pi Kunpeng Pro SBC tested,"Cuối cùng, cách thức hoạt động của chip Huawei bí mật đã được tiết lộ, cũng như thử nghiệm Orange Pi Kunpeng Pro SBC"
94546,Not even the Galaxy S23 could prevent Qualcomm’s chip sales from falling by 25%,Ngay cả Galaxy S23 cũng không thể ngăn doanh số bán chip của Qualcomm giảm 25%
72773,Acer Swift Go 16 Review: Strong CPU Performance Paired With a Big OLED     - CNET,Đánh giá Acer Swift Go 16: Hiệu suất CPU mạnh mẽ được kết hợp với Big OLED-CNET
37012,Linux market share passes 4% for first time; macOS dominance declines,Thị phần Linux lần đầu tiên vượt 4%; sự thống lĩnh của macOS suy giảm.
21286,Apple working hard on one iPad it won’t launch next week,Táo đang nỗ lực làm một chiếc iPad mà nó sẽ không tung ra thị trường trong tuần tới
91611,Samsung unveils Galaxy Z Flip5 Retro to celebrate a legacy of innovation,Samsung ra mắt Galaxy Z Flip5 Retro để kỷ niệm di sản đổi mới
96658,Researchers extracted a Pink Floyd song from a person’s brain – listen to the haunting audio,Các nhà nghiên cứu trích xuất bài hát Pink Floyd từ não người – nghe âm thanh đầy ám ảnh
63264,"Red Magic 9 Pro series with Snapdragon 8 Gen 3 SoC, refreshed design & improved cooling system launched","Dòng Red Magic 9 Pro với Snapdragon 8 Gen 3 SoC, thiết kế &amp; ra mắt hệ thống làm mát cải tiến"
74600,NASA wants to build a ‘lunar freezer’ for astronauts to use,NASA muốn xây dựng một 'bồn đá mặt trăng' để các phi hành gia sử dụng
69894,NASA's OSIRIS-REx mission collected more Bennu asteroid samples than first thought,Sứ mệnh OSIRIS-REx của NASA đã thu thập nhiều mẫu tiểu hành tinh Bennu hơn những gì người ta nghĩ ban đầu
37023,Lawmakers introduce bill that would punish app stores for hosting TikTok,Các nhà lập pháp đưa ra dự luật trừng phạt các cửa hàng ứng dụng lưu trữ TikTok
