raw_row_index,en,vi,audit_flags,en_char_count,vi_char_count,length_ratio_vi_en
0,"If the user is logged in, display their profile.","Nếu người dùng đã đăng nhập, hãy hiển thị hồ sơ của họ.",exact_duplicate,48,55,1.1458333333333333
1,"While the queue is not empty, process the next item.","Trong khi hàng đợi chưa rỗng, hãy xử lý mục tiếp theo.",noise_ui_fragment,52,54,1.0384615384615385
7,This algorithm sorts the array in ascending order.,Thuật toán này sắp xếp mảng theo thứ tự tăng dần.,exact_duplicate,50,49,0.98
10,Increment the counter until it reaches the maximum limit.,Tăng biến đếm cho đến khi nó đạt giới hạn tối đa.,exact_duplicate,57,49,0.8596491228070176
14,Continue to the next iteration if the current item is invalid.,Tiếp tục đến lần lặp tiếp theo nếu mục hiện tại không hợp lệ.,exact_duplicate; noise_ui_fragment,62,61,0.9838709677419355
22,The 'do-while' loop executes at least once.,Vòng lặp 'do-while' thực thi ít nhất một lần.,exact_duplicate,43,45,1.0465116279069768
23,Validate the input to prevent logical errors.,Xác thực đầu vào để ngăn chặn lỗi logic.,exact_duplicate,45,40,0.8888888888888888
28,The condition `x > 0 AND y < 10` must be true.,Điều kiện `x > 0 VÀ y < 10` phải đúng.,exact_duplicate,46,38,0.8260869565217391
40,The 'continue' statement skips the rest of the current loop iteration.,Câu lệnh 'continue' bỏ qua phần còn lại của lần lặp vòng lặp hiện tại.,exact_duplicate,70,70,1.0
42,The condition `temperature < 0 OR humidity > 90` is checked.,Điều kiện `nhiệt độ < 0 HOẶC độ ẩm > 90` được kiểm tra.,noise_markup_or_html_entity,60,55,0.9166666666666666
49,This algorithm has a space complexity of O(1).,Thuật toán này có độ phức tạp không gian là O(1).,exact_duplicate,46,49,1.065217391304348
50,"Return true if the array is empty, otherwise return false.","Trả về true nếu mảng rỗng, ngược lại trả về false.",exact_duplicate,58,50,0.8620689655172413
51,"While the counter is less than 10, increment it by 1.","Trong khi biến đếm nhỏ hơn 10, hãy tăng nó thêm 1 đơn vị.",exact_duplicate,53,57,1.0754716981132075
52,The function throws an exception because the input is null.,Hàm ném ra ngoại lệ vì đầu vào có giá trị null.,exact_duplicate,59,47,0.7966101694915254
53,"If the user is logged in, display their profile.","Nếu người dùng đã đăng nhập, hãy hiển thị hồ sơ của họ.",exact_duplicate,48,55,1.1458333333333333
55,Loop through the array and print each element.,Lặp qua mảng và in từng phần tử.,exact_duplicate,46,32,0.6956521739130435
59,This algorithm has a time complexity of O(n log n).,Thuật toán này có độ phức tạp thời gian là O(n log n).,exact_duplicate,51,54,1.0588235294117647
66,Use a try-catch block to handle potential errors.,Sử dụng khối try-catch để xử lý các lỗi tiềm ẩn.,exact_duplicate,49,48,0.9795918367346939
69,"If x is greater than y, swap their values.","Nếu x lớn hơn y, hãy hoán đổi giá trị của chúng.",exact_duplicate,42,48,1.1428571428571428
99,The 'return' statement exits the function and passes back a value.,Câu lệnh 'return' thoát khỏi hàm và trả về một giá trị.,noise_ui_fragment,66,55,0.8333333333333334
103,The condition `x > 0 AND y < 10` must be true.,Điều kiện `x > 0 VÀ y < 10` phải đúng.,exact_duplicate,46,38,0.8260869565217391
110,Loop through the array and print each element.,Lặp qua mảng và in từng phần tử.,exact_duplicate,46,32,0.6956521739130435
116,`Continue` to the next iteration if the current value is negative.,`Tiếp tục` đến lần lặp tiếp theo nếu giá trị hiện tại là âm.,noise_ui_fragment,66,60,0.9090909090909091
120,The algorithm searches for the shortest path.,Thuật toán tìm kiếm đường đi ngắn nhất.,exact_duplicate,45,39,0.8666666666666667
124,Pseudocode helps in outlining the logic before coding.,Mã giả (pseudocode) giúp phác thảo logic trước khi viết mã.,exact_duplicate,54,59,1.0925925925925926
149,The `try-catch` block is used for exception handling.,Khối `try-catch` được sử dụng để xử lý ngoại lệ.,exact_duplicate,53,48,0.9056603773584906
165,'Continue' skips the rest of the current iteration and proceeds to the next.,'Continue' bỏ qua phần còn lại của lần lặp hiện tại và chuyển sang lần tiếp theo.,noise_ui_fragment,76,81,1.0657894736842106
171,Pseudocode helps in outlining the logic before writing actual code.,Mã giả giúp phác thảo logic trước khi viết mã thực tế.,exact_duplicate,67,54,0.8059701492537313
177,The time complexity of this search algorithm is O(log n).,Độ phức tạp thời gian của thuật toán tìm kiếm này là O(log n).,exact_duplicate,57,62,1.087719298245614
200,"If the user is authenticated, grant access to the dashboard.","Nếu người dùng đã xác thực, cấp quyền truy cập vào bảng điều khiển.",exact_duplicate,60,67,1.1166666666666667
201,"While the list is not empty, remove the first element.","Trong khi danh sách chưa rỗng, hãy xóa phần tử đầu tiên.",exact_duplicate,54,56,1.037037037037037
203,"The function returns true if the number is even, else false.","Hàm trả về true nếu số là chẵn, ngược lại là false.",exact_duplicate,60,51,0.85
204,Increment the counter until it reaches the maximum limit.,Tăng biến đếm cho đến khi nó đạt giới hạn tối đa.,exact_duplicate,57,49,0.8596491228070176
214,The time complexity of this search algorithm is O(n).,Độ phức tạp thời gian của thuật toán tìm kiếm này là O(n).,exact_duplicate,53,58,1.0943396226415094
215,Continue to the next iteration if the current item is null.,Tiếp tục sang lần lặp tiếp theo nếu mục hiện tại là null.,noise_ui_fragment,59,57,0.9661016949152542
218,The program flow changes based on user input.,Luồng chương trình thay đổi dựa trên đầu vào của người dùng.,exact_duplicate,45,60,1.3333333333333333
220,"If the file does not exist, create a new one.","Nếu tệp không tồn tại, hãy tạo một tệp mới.",exact_duplicate,45,43,0.9555555555555556
231,A `do-while` loop executes at least once.,Vòng lặp `do-while` thực thi ít nhất một lần.,exact_duplicate,41,45,1.0975609756097562
246,The boolean flag indicates the state of the process.,Cờ boolean cho biết trạng thái của quá trình.,exact_duplicate,52,45,0.8653846153846154
