raw_row_index,en,vi,audit_flags,en_char_count,vi_char_count,length_ratio_vi_en
6,None,Không có,exact_duplicate,4,8,2.0
38,Thai,Thái,exact_duplicate,4,4,1.0
50,Extra Toolbar,Thanh công cụ thêmNAME OF TRANSLATORS,exact_duplicate,13,37,2.8461538461538463
51,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
52,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
57,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
64,Reset,Đặt lại,exact_duplicate,5,7,1.4
65,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
75,Not found,Không tìm thấy,exact_duplicate,9,14,1.5555555555555556
79,Syntax error,Lỗi cú pháp,exact_duplicate,12,11,0.9166666666666666
100,Save DOM Tree as HTML,Lưu cây DOM dạng HTML,noise_ui_fragment,21,21,1.0
103,Overwrite,Ghi đè,exact_duplicate,9,6,0.6666666666666666
108,Delete Nodes,Xoá các nút,noise_ui_fragment,12,11,0.9166666666666666
109,Delete Attributes,Xoá các thuộc tính,noise_ui_fragment,17,18,1.0588235294117647
115,Expand,Mở rộng,exact_duplicate,6,7,1.1666666666666667
119,& Delete,Xoá các nút,noise_ui_fragment,8,11,1.375
120,Delete nodes,Xoá các nút,noise_ui_fragment,12,11,0.9166666666666666
123,Delete attributes,Xoá các thuộc tính,noise_ui_fragment,17,18,1.0588235294117647
135,Name,Tên,exact_duplicate,4,3,0.75
136,Value,Giá trị,exact_duplicate,5,7,1.4
137,Apply,Áp dụng,exact_duplicate,5,7,1.4
141,& Go,& Tới,exact_duplicate,4,5,1.25
146,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
151,Name,Tên,exact_duplicate,4,3,0.75
152,Size,Cỡ,exact_duplicate,4,2,0.5
156,Owner,Sở hữu,exact_duplicate,5,6,1.2
157,Group,Nhóm,exact_duplicate,5,4,0.8
158,Mime Type,Kiểu MIME,exact_duplicate,9,9,1.0
162,Refresh,Cập nhật,exact_duplicate,7,8,1.1428571428571428
167,Color Mode,Chế độ màu,exact_duplicate,10,10,1.0
169,None,Không có,exact_duplicate,4,8,2.0
170,Depth,Độ sâu,exact_duplicate,5,6,1.2
171,FSView,FSView,identical_pair,6,6,1.0
179,Delete,@ action: inmenu Edit,noise_ui_fragment,6,21,3.5
186,& Help,NAME OF TRANSLATORS,language_suspect,6,19,3.1666666666666665
187,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
188,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
191,Columns,Cột,exact_duplicate,7,3,0.42857142857142855
194,Best,Tốt nhất,exact_duplicate,4,8,2.0
201,Shading,Bóng,exact_duplicate,7,4,0.5714285714285714
221,Create,Tạo,exact_duplicate,6,3,0.5
234,Folders,Thư mục,exact_duplicate,7,7,1.0
235,& Save to HTML file:,& Lưu vào tập tin HTML:,noise_ui_fragment,20,23,1.15
262,KB,KB,identical_pair; exact_duplicate,2,2,1.0
264,Extra Toolbar,Thanh công cụ thêmNAME OF TRANSLATORS,exact_duplicate,13,37,2.8461538461538463
265,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
266,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
267,HTML Settings,Thiết lập HTML,exact_duplicate; noise_ui_fragment,13,14,1.0769230769230769
268,JavaScript,JavaScript,identical_pair; exact_duplicate,10,10,1.0
269,& Java,& Java,identical_pair; exact_duplicate,6,6,1.0
284,Play,Phát,exact_duplicate,4,4,1.0
285,Pause,Tạm dừng,exact_duplicate,5,8,1.6
287,Form1,Form1,identical_pair,5,5,1.0
290,Open with:,Mở bằng:,exact_duplicate,10,8,0.8
291,Actions:,Hành động:,exact_duplicate,8,10,1.25
294,Themes,Sắc thái,exact_duplicate,6,8,1.3333333333333333
295,Install New Theme...,Cài đặt sắc thái mới...,exact_duplicate,20,23,1.15
296,New...,Mới...,exact_duplicate,6,6,1.0
297,Edit...,Sửa...,exact_duplicate,7,6,0.8571428571428571
298,Name,Tên,exact_duplicate,4,3,0.75
300,General,Chung,exact_duplicate,7,5,0.7142857142857143
301,Actions,Hành động,exact_duplicate,7,9,1.2857142857142858
303,Share,Chia sẻ,exact_duplicate,5,7,1.4
306,Name:,Tên:,exact_duplicate,5,4,0.8
307,URL:,URL:,identical_pair; exact_duplicate,4,4,1.0
309,More,Thêm nữa,exact_duplicate,4,8,2.0
311,Choose Application,Chọn ứng dụng,exact_duplicate,18,13,0.7222222222222222
312,Type,Kiểu,exact_duplicate,4,4,1.0
313,Size,Cỡ,exact_duplicate,4,2,0.5
314,User,Người dùng,exact_duplicate,4,10,2.5
315,Group,Nhóm,exact_duplicate,5,4,0.8
316,Permissions,Quyền hạn,exact_duplicate,11,9,0.8181818181818182
321,Folders,Thư mục,exact_duplicate,7,7,1.0
328,Run,Chạy,exact_duplicate,3,4,1.3333333333333333
329,Comment,Chú thích,exact_duplicate,7,9,1.2857142857142858
336,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
337,Rellinks,Rellinks,identical_pair,8,8,1.0
340,& Up,& Lên,exact_duplicate,4,5,1.25
342,& First,Đầu,exact_duplicate,7,3,0.42857142857142855
345,& Next,& Kế,exact_duplicate; noise_ui_fragment,6,4,0.6666666666666666
346,This link references the next document in an ordered series of documents.,Liên kết này chỉ tới tài liệu nằm sau trong thứ tự tài liệu.,noise_ui_fragment,73,60,0.821917808219178
347,& Last,& Cuối,exact_duplicate,6,6,1.0
351,Document,Tài liệu,exact_duplicate,8,8,1.0
367,More,Thêm nữa,exact_duplicate,4,8,2.0
382,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
383,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
384,Search Toolbar,Thanh công cụ tìm,exact_duplicate,14,17,1.2142857142857142
390,Extra Toolbar,Thanh công cụ thêmNAME OF TRANSLATORS,exact_duplicate,13,37,2.8461538461538463
391,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
392,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
395,Other,Khác,exact_duplicate,5,4,0.8
396,Version %1,Phiên bản% 1,exact_duplicate,10,12,1.2
401,Default Identification,Nhận diện mặc định,exact_duplicate,22,18,0.8181818181818182
403,Configure...,Cấu hình...,exact_duplicate,12,11,0.9166666666666666
416,HTML tidy results:,"% 1 is the error count string,% 2 the warning count string,% 3 the accessibility warning string",language_suspect; extreme_length_ratio,18,95,5.277777777777778
417,"Page: %1, %2, %3","% 1 is the error count string,% 2 the warning count string",language_suspect,16,58,3.625
418,"Page: %1, %2","% 1 is the HTML frame name,% 2 is the error count string,% 3 the warning count string,% 4 the accessibility warning string",language_suspect; extreme_length_ratio,12,122,10.166666666666666
419,"Frame '%1 ': %2, %3, %4","% 1 is the HTML frame name,% 2 is the error count string,% 3 the warning count string",language_suspect,23,85,3.6956521739130435
425,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
427,URL:,URL:,identical_pair; exact_duplicate,4,4,1.0
431,Message,NAME OF TRANSLATORS,language_suspect,7,19,2.7142857142857144
432,Your names,Nhóm Việt hoá KDEEMAIL OF TRANSLATORS,exact_duplicate,10,37,3.7
433,Your emails,kde- l10n- vi@ kde. org,exact_duplicate,11,23,2.090909090909091
445,Ok,Được,exact_duplicate; noise_ui_fragment,2,4,2.0
448,Save Page as Web-Archive,Cất trang web bằng Web ARchive,noise_ui_fragment,24,30,1.25
451,File Exists,Tập tin đã có,exact_duplicate,11,13,1.1818181818181819
453,Overwrite,Ghi đè,exact_duplicate,9,6,0.6666666666666666
458,Extra Toolbar,Thanh công cụ thêm,exact_duplicate,13,18,1.3846153846153846
462,Manage your photographs like a professional with the power of open source,Name,extreme_length_ratio,73,4,0.0547945205479452
464,A download from a camera or other device has finished.,Name,extreme_length_ratio,54,4,0.07407407407407407
466,A queue in the batch queue manager has been completed.,Name,extreme_length_ratio,54,4,0.07407407407407407
467,Update of fingerprint database complete,Comment,extreme_length_ratio,39,7,0.1794871794871795
468,The update of the fingerprint database has been completed.,Name,extreme_length_ratio,58,4,0.06896551724137931
469,Update of thumbnails database complete,Comment,extreme_length_ratio,38,7,0.18421052631578946
470,The update of the thumbnails database has been completed.,Name,extreme_length_ratio,57,4,0.07017543859649122
471,Synchronization of images' metadata with database completed,Comment,extreme_length_ratio,59,7,0.11864406779661017
472,The synchronization of the images' metadata with the database has been completed.,Name,extreme_length_ratio,81,4,0.04938271604938271
473,ImagePlugin_AdjustCurves,ImagePlugin_ AdjustCurvesComment,exact_duplicate,24,32,1.3333333333333333
474,Image histogram adjust curves plugin for digiKam,Bổ sung biểu đồ tần xuất điều chỉnh đường cong ảnh cho digiKamName,exact_duplicate,48,66,1.375
475,ImagePlugin_AdjustLevels,ImagePlugin_ AdjustLevelsComment,exact_duplicate,24,32,1.3333333333333333
476,Image histogram adjust levels plugin for digiKam,Bổ sung biểu đồ tần xuất điều chỉnh lớp ảnh cho digiKamName,exact_duplicate,48,59,1.2291666666666667
477,ImagePlugin_BlurFX,ImagePlugin_ BlurFXComment,exact_duplicate,18,26,1.4444444444444444
478,Blur special effects plugin for digiKam,Bổ sung hiệu ứng đặc biệt che mờ cho digiKamName,exact_duplicate,39,48,1.2307692307692308
479,ImagePlugin_Border,ImagePlugin_ BorderComment,exact_duplicate,18,26,1.4444444444444444
480,Add border to image plugin for digiKam,Bổ sung thêm viền trên ảnh cho digiKamName,exact_duplicate,38,42,1.105263157894737
481,ImagePlugin_ChannelMixer,ImagePlugin_ ChannelMixerComment,exact_duplicate,24,32,1.3333333333333333
482,Image color channels mixer plugin for digiKam,Bổ sung hoà kênh màu ảnh cho digiKamName,exact_duplicate,45,40,0.8888888888888888
483,ImagePlugin_Charcoal,ImagePlugin_ CharcoalComment,exact_duplicate,20,28,1.4
484,Charcoal drawing image effect plugin for digiKam,Bổ sung hiệu ứng vẽ ảnh than gỗ cho digiKamName,exact_duplicate,48,47,0.9791666666666666
486,Color special effects plugin for digiKam,Bổ sung hiệu ứng đặc biệt màu sắc cho digiKamName,exact_duplicate,40,49,1.225
491,ImagePlugin_DistortionFX,ImagePlugin_ DistortionFXComment,exact_duplicate,24,32,1.3333333333333333
492,Distortion special effects plugin for digiKam,Bổ sung hiệu ứng đặc biệt méo mó ảnh cho digiKamName,exact_duplicate,45,52,1.1555555555555554
493,ImagePlugin_Emboss,ImagePlugin_ EmbossComment,exact_duplicate,18,26,1.4444444444444444
494,Emboss image effect plugin for digiKam,Bổ sung hiệu ứng chạm nổi ảnh cho digiKamName,exact_duplicate,38,45,1.1842105263157894
495,ImagePlugin_FilmGrain,ImagePlugin_ FilmGrainComment,exact_duplicate,21,29,1.380952380952381
496,Film grain image effect plugin for digiKam,Bổ sung hiệu ứng chạm mịn mặt màng ảnh cho digiKamName,exact_duplicate,42,54,1.2857142857142858
497,ImagePlugin_FreeRotation,ImagePlugin_ FreeRotationComment,exact_duplicate,24,32,1.3333333333333333
498,Free rotation plugin for digiKam,Bổ sung xoay tự do cho digiKamName,exact_duplicate,32,34,1.0625
499,ImagePlugin_HotPixels,ImagePlugin_ HotPixelsComment,exact_duplicate,21,29,1.380952380952381
500,Hot pixel correction plugin for digiKam,Bổ sung sửa điểm ảnh nóng cho digiKamName,exact_duplicate,39,41,1.0512820512820513
501,ImagePlugin_Infrared,ImagePlugin_ InfraredComment,exact_duplicate,20,28,1.4
502,Simulate infrared film plugin for digiKam,Bổ sung mô phỏng mảng thuốc hồng ngoại cho digiKamName,exact_duplicate,41,54,1.3170731707317074
503,ImagePlugin_InPainting,ImagePlugin_ InPaintingComment,exact_duplicate,22,30,1.3636363636363635
504,digiKam plugin to inpaint a photograph,Bổ sung sơn vào ảnh chụp cho digiKamName,exact_duplicate,38,40,1.0526315789473684
505,ImagePlugin_InsertText,ImagePlugin_ InsertTextComment,exact_duplicate,22,30,1.3636363636363635
506,Insert text to image plugin for digiKam,Bổ sung chèn văn bản vào ảnh cho digiKamName,exact_duplicate,39,44,1.1282051282051282
508,Lens aberrations correction tools,Name,extreme_length_ratio,33,4,0.12121212121212122
511,ImagePlugin_OilPaint,ImagePlugin_ OilPaintComment,exact_duplicate,20,28,1.4
512,Oil paint image effect plugin for digiKam,Bổ sung hiệu ứng ảnh son dầu cho digiKamName,exact_duplicate,41,44,1.0731707317073171
513,ImagePlugin_Perspective,ImagePlugin_ PerspectiveComment,exact_duplicate,23,31,1.3478260869565217
514,Perspective tool plugin for digiKam,Bổ sung công cụ phối cảnh cho digiKamName,exact_duplicate,35,41,1.1714285714285715
515,ImagePlugin_RainDrop,ImagePlugin_ RainDropComment,exact_duplicate,20,28,1.4
516,Rain dropping image effect plugin for digiKam,Bổ sung hiệu ứng ảnh giọt mưa cho digiKamName,exact_duplicate,45,45,1.0
517,ImagePlugin_Restoration,ImagePlugin_ RestorationComment,exact_duplicate,23,31,1.3478260869565217
518,digiKam plugin to restore a photograph,Bổ sung phục hồi ảnh chụp cho digiKamName,exact_duplicate,38,41,1.0789473684210527
519,ImagePlugin_ShearTool,ImagePlugin_ ShearToolComment,exact_duplicate,21,29,1.380952380952381
520,Shear tool plugin for digiKam,Bổ sung công cụ kéo cắt cho digiKamName,exact_duplicate,29,39,1.3448275862068966
521,ImagePlugin_SuperImpose,ImagePlugin_ SuperImposeComment,exact_duplicate,23,31,1.3478260869565217
522,Template superimpose plugin for digiKam,Bổ sung đặt biểu mẫu trên cho digiKamName,exact_duplicate,39,41,1.0512820512820513
523,ImagePlugin_Texture,ImagePlugin_ TextureComment,exact_duplicate,19,27,1.4210526315789473
524,digiKam plugin to apply texture on image,Bổ sung áp dụng hoạ tiết trên ảnh cho digiKamName,exact_duplicate,40,49,1.225
525,ImagePlugin_WhiteBalance,ImagePlugin_ WhiteBalanceComment,exact_duplicate,24,32,1.3333333333333333
532,Photo Viewer and Editor,Name,extreme_length_ratio,23,4,0.17391304347826086
533,Download Photos with digiKam,Name,extreme_length_ratio,28,4,0.14285714285714285
537,A Nepomuk service that syncs with digikam,Name,extreme_length_ratio,41,4,0.0975609756097561
539,ImagePlugin_AdjustCurves,ImagePlugin_ AdjustCurvesComment,exact_duplicate,24,32,1.3333333333333333
