raw_row_index,en,vi
3106,Programming system and content development tool,Hệ thống lập trình và công cụ phát triển nội dung
2581,Monkey Studio IDE,Monkey Studio IDE
2820,Tag your music with the next generation MusicBrainz tagger,Đánh dấu thẻ nhạc của bạn với trình đánh thẻ thế hệ kế tiếp MusicBrainz
751,Unable to set buffer time %u us for playback: %s,Không thể đặt thời gian đệm %u µs cho phát lại: %s
1209,Celestia (GNOME),Celestia (GNOME)
4004,"Check if you are currently running another software management tool, e.g. Synaptic or aptitude. Only one tool is allowed to make changes at a time.","Kiểm tra nếu hiện tại bạn đang chạy một công cụ quản lý phần mềm khác, ví dụ Synaptic hay aptitude. Chỉ một công cụ được cho phép tạo thay đổi trong một thời điểm."
1056,BASIC-256,BASIC-256
2846,SuperKaramba,SuperKaramba
1448,Image viewer,Trình xem ảnh
79,_Restart,Chạy _lại
977,Create physical computing projects,Tạo các dự án điện toán vật lý
589,Sparc Audio,Âm thanh SPARC
4102,Updates will be skipped,Các cập nhật sẽ bị bỏ qua
3077,rRootage,rRootage
228,three of hearts,ba cơ
927,Dock any application to the notification area/system tray.,Gắn bất kỳ ứng dụng nào lên vùng thông báo/khay hệ thống
3684,triangles game,Trò chơi hình tam giác
65,New Game,Lượt chơi mới
2478,easy music production for everyone!,Dễ dàng sản xuất cho mọi người!
2603,Split mp3 and ogg files without decoding,Tách tập tin mp3 và ogg mà không cần giải mã
33,Never,Chưa bao giờ
3355,Tellico,Tellico
3213,A great MPlayer front-end,Một giao diện điều khiển tốt cho MPlayer
2688,NTFS Configuration Tool,Công cụ cấu hình NTFS
586,raw data,dữ liệu thô
2377,KSquares,KSquares
4049,Waiting for required medium,Đang chờ môi trường cần thiết
3882,Remove downloaded package files,Gỡ bỏ những tập tin của các gói đã tải về
2036,Secure Shell,Hệ vỏ bảo mật (Secure Shell)
1611,"Manage your collections of movies, games, books, music and more","Quản lý bộ sưu tập phim ảnh, trò chơi, sách, nhạc và hơn thế nữa"
