raw_row_index,source_short_name,en_clean,vi_clean,audit_flags,suggested_it_subdomain,suggested_reason,manual_decision,manual_it_subdomain,manual_note
46,ubuntu,"--help"" and ""--version","adduser [--home THƯ_MỤC] [--shell VỎ] [--no-create-home] [--uid ID] [--firstuid ID] [--lastuid ID] [--gecos GECOS] [--ingroup NHÓM _BAR_ --gid ID] [--disabled-password] [--disabled-login] [--encrypt-home] NGƯỜI_DÙNG Thêm một người dùng bình thường adduser --system [--home THƯ_MỤC] [--shell VỎ] [--no-create-home] [--uid ID] [--gecos GECOS] [--group _BAR_ --ingroup NHÓM _BAR_ --gid ID] [--disabled-password] [--disabled-login] NGƯỜI_DÙNG Thêm một người dùng hệ thống adduser --group [--gid ID] NHÓM addgroup [--gid ID] NHÓM Thêm một nhóm người dùng addgroup --system [--gid ID] NHÓM Thêm một nhóm hệ thống adduser NGƯỜI_DÙNG NHÓM Thêm một người dùng sẵn có vào một nhóm đang tồn tại tùy chọn chung: --quiet _BAR_ -q đừng xuất thông tin quá trình cho stdout --force-badname cho phép tên người dùng không khớp với biến cấu hình NAME_REGEX[_SYSTEM] --help _BAR_ -h hướng dẫn sử dụng --version _BAR_ -v số phiên bản và bản quyền --conf _BAR_ -c TẬP_TIN sử dụng TẬP_TIN làm tập tin cấu hình --help"" and ""--version",extreme_length_ratio; very_long_pair,coding;system;ui_localization;command_cli;documentation,audit_flag_manual_review:extreme_length_ratio;very_long_pair,reject,,
74,ubuntu,_Hint,"_Gợi ý_New"" is for the menu item 'Game->New', implies ""New Game",extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
78,ubuntu,_Reset,"_Lập lại_Restart"" is the menu item 'Game->Restart', implies ""Restart Game",extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
86,ubuntu,"You should have received a copy of the GNU General Public License along with this program. If not, see .",slot type,extreme_length_ratio,coding;hardware,audit_flag_manual_review:extreme_length_ratio,reject,,
187,ubuntu,A,Acard symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
188,ubuntu,2,2card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
189,ubuntu,3,3card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
190,ubuntu,4,4card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
191,ubuntu,5,5card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
192,ubuntu,6,6card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
193,ubuntu,7,7card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
194,ubuntu,8,8card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
195,ubuntu,9,9card symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
196,ubuntu,J,Jcard symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
197,ubuntu,Q,Qcard symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
198,ubuntu,K,Kcard symbol,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
544,ubuntu,L,Lright,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
