raw_row_index,en,vi
5431,We use DVC for tracking large datasets and model artifacts.,Chúng tôi sử dụng DVC để theo dõi các tập dữ liệu lớn và các tạo phẩm mô hình.
6627,Make a long story short.,Nói tóm lại là...
12714,We are evaluating potential mergers and acquisitions (M&A).,Chúng ta đang đánh giá các thương vụ sáp nhập và mua lại (M&A) tiềm năng.
1593,Quantum computing promises to revolutionize complex problem-solving.,Điện toán lượng tử hứa hẹn sẽ cách mạng hóa việc giải quyết các vấn đề phức tạp.
5421,Automated unit tests and integration tests are part of every commit.,Các kiểm thử đơn vị và kiểm thử tích hợp tự động là một phần của mỗi commit.
6790,I can't take on any more tasks; I have a lot on my plate already.,Tôi không thể nhận thêm bất kỳ nhiệm vụ nào nữa; tôi đã có rất nhiều việc phải làm rồi.
8842,The system needs to handle concurrent requests efficiently.,Hệ thống cần xử lý các yêu cầu đồng thời một cách hiệu quả.
2512,GDDR6X memory offers higher bandwidth compared to standard GDDR6.,Bộ nhớ GDDR6X cung cấp băng thông cao hơn so với GDDR6 tiêu chuẩn.
2254,Developing robust software requires thorough testing and quality assurance.,Phát triển phần mềm mạnh mẽ đòi hỏi phải kiểm thử kỹ lưỡng và đảm bảo chất lượng.
4608,Scaling the Kubernetes deployment based on request load is crucial for cost efficiency.,Mở rộng triển khai Kubernetes dựa trên tải yêu cầu là rất quan trọng để tiết kiệm chi phí.
5903,The model is clearly overfitting on the training data; we need to fix the regularization.,Mô hình rõ ràng là quá khớp trên dữ liệu huấn luyện; chúng ta cần sửa lại phần regularization.
14010,"Just to confirm, you would like us to proceed with Option A?","Chỉ để xác nhận, bạn muốn chúng ta tiến hành với Phương án A phải không?"
2992,Insufficient VRAM can lead to significant performance bottlenecks in high-resolution gaming.,VRAM không đủ có thể dẫn đến các nút thắt cổ chai hiệu suất đáng kể trong chơi game độ phân giải cao.
5790,Implementing automated integration tests is the next step in our CI pipeline improvement.,Triển khai kiểm thử tích hợp tự động là bước tiếp theo trong việc cải thiện pipeline CI của chúng tôi.
10925,We need to save electricity to protect the environment.,Chúng ta cần tiết kiệm điện để bảo vệ môi trường.
3660,Insufficient VRAM can lead to out-of-memory errors when processing large datasets.,VRAM không đủ có thể dẫn đến lỗi hết bộ nhớ khi xử lý các tập dữ liệu lớn.
5107,Kubernetes handles the scaling and load balancing for our prediction services.,Kubernetes xử lý việc mở rộng và cân bằng tải cho các dịch vụ dự đoán của chúng ta.
5404,The MLOps team is responsible for managing the entire lifecycle of ML models.,Nhóm MLOps chịu trách nhiệm quản lý toàn bộ vòng đời của các mô hình ML.
3016,"Using CUDA streams allows overlapping computation with data transfers, improving utilization.","Sử dụng CUDA streams cho phép chồng chéo tính toán với truyền dữ liệu, cải thiện việc sử dụng."
11167,Why do we need sleep?,Tại sao chúng ta cần ngủ?
2119,The new server rack is equipped with NVIDIA A100 GPUs.,Giá đỡ máy chủ mới được trang bị GPU NVIDIA A100.
11693,Under the weather.,"Không khỏe, ốm."
1086,Feature engineering plays a crucial role in improving model accuracy.,Kỹ thuật đặc trưng đóng vai trò quan trọng trong việc cải thiện độ chính xác của mô hình.
14355,We have received your application and will review it in the coming days.,Chúng tôi đã nhận được đơn đăng ký của bạn và sẽ xem xét trong những ngày tới.
10703,Why does the sun rise in the east and set in the west?,Tại sao mặt trời mọc ở phía đông và lặn ở phía tây?
5040,The first step in our ML workflow is always data ingestion and validation.,Bước đầu tiên trong quy trình ML của chúng tôi luôn là thu thập và xác thực dữ liệu.
13523,Inflation rates are impacting consumer purchasing power.,Tỷ lệ lạm phát đang ảnh hưởng đến sức mua của người tiêu dùng.
11866,Don't make a mountain out of a molehill.,Đừng chuyện bé xé ra to.
3617,The CPU's instruction set architecture (ISA) defines the basic operations it can perform.,Kiến trúc tập lệnh (ISA) của CPU định nghĩa các phép toán cơ bản mà nó có thể thực hiện.
2807,The L2 cache on modern GPUs is much larger than L1.,Bộ nhớ đệm L2 trên các GPU hiện đại lớn hơn nhiều so với L1.
