raw_row_index,source_short_name,en_clean,vi_clean,audit_flags,suggested_it_subdomain,suggested_reason,manual_decision,manual_it_subdomain,manual_note
1544,envitech_reasoning,"Their new product demo was quite impressive, everyone was like 'wow, gắt quá'.","Bản demo sản phẩm mới của họ khá ấn tượng, ai cũng phải 'wow, gắt quá'.",language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
1545,envitech_reasoning,Don't bơ the importance of data quality in any machine learning project.,Đừng bơ (phớt lờ) tầm quan trọng của chất lượng dữ liệu trong bất kỳ dự án học máy nào.,language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
1937,envitech_reasoning,"The new AI model runs *gắt* (impressively), its performance is top-notch.","Mô hình AI mới chạy *gắt* thật, hiệu suất của nó đỉnh cao.",language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
1938,envitech_reasoning,Don't *bơ* (ignore) the security vulnerabilities in the system.,Đừng *bơ* các lỗ hổng bảo mật trong hệ thống.,language_suspect,system,audit_flag_manual_review:language_suspect,reject,,
2057,envitech_reasoning,"He's really into quantum computing lately, always bơ (nerding out) about qubits.","Dạo này anh ấy mê điện toán lượng tử lắm, lúc nào cũng bơ (nghiên cứu sâu) về qubit.",language_suspect,,audit_flag_manual_review:language_suspect,reject,,
2087,envitech_reasoning,"He's so gắt (intense/serious) about coding standards, he reviews every line.","Anh ấy gắt (rất nghiêm túc) về tiêu chuẩn mã hóa, anh ấy xem xét từng dòng.",language_suspect,coding,audit_flag_manual_review:language_suspect,reject,,
2205,envitech_reasoning,"He's been coding since he was a kid, so he's really 'gắt' at competitive programming.","Anh ấy đã lập trình từ khi còn nhỏ, nên anh ấy thực sự 'gắt' trong lập trình thi đấu.",language_suspect,coding;hardware,audit_flag_manual_review:language_suspect,reject,,
2257,envitech_reasoning,"This AI model can generate realistic human-like text, which is pretty bơ.","Mô hình AI này có thể tạo ra văn bản giống con người rất chân thực, bơ vãi luôn.",language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
2259,envitech_reasoning,"The performance of the new deep learning framework is pretty gắt, it beats all benchmarks.","Hiệu suất của framework học sâu mới này gắt thật, nó đánh bại mọi tiêu chuẩn.",language_suspect,ai_ml;hardware,audit_flag_manual_review:language_suspect,reject,,
2328,envitech_reasoning,He's really good at competitive programming; he often 'bơ' (solves easily) hard problems.,Anh ấy rất giỏi lập trình thi đấu; anh ấy thường 'bơ' (giải quyết dễ dàng) những bài toán khó.,language_suspect,coding;hardware,audit_flag_manual_review:language_suspect,reject,,
2340,envitech_reasoning,The startup developed a 'gắt' (impressive/fierce) new AI diagnostic tool.,Công ty khởi nghiệp đã phát triển một công cụ chẩn đoán AI mới rất 'gắt' (ấn tượng/đáng gờm).,language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
3100,envitech_reasoning,"PCIe 5.0 doubles the bandwidth compared to PCIe 4.0, which is gắt lắm.","PCIe 5.0 tăng gấp đôi băng thông so với PCIe 4.0, gắt lắm đó nha.",language_suspect,,audit_flag_manual_review:language_suspect,reject,,
3139,envitech_reasoning,"The latest GPUs are packed with features, khoe mẽ ghê.","Các GPU mới nhất được trang bị đầy đủ tính năng, khoe mẽ ghê.",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
3339,envitech_reasoning,"This new GPU runs really intensely (gắt lắm), top-tier performance.","Cái GPU mới này chạy gắt lắm, hiệu năng đỉnh của chóp luôn.",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
3713,envitech_reasoning,"This new SSD offers blazing-fast read/write speeds, anh em ạ.","Ổ SSD mới này có tốc độ đọc/ghi cực kỳ gắt, anh em ạ.",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
3981,envitech_reasoning,"The new graphics card has 24GB of GDDR6X VRAM, khá bơ đấy.","Card đồ họa mới có 24GB GDDR6X VRAM, khá bơ đấy.",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
3982,envitech_reasoning,"The CPU has 8 cores and 16 threads, which is pretty gắt.","CPU có 8 lõi và 16 luồng, khá gắt đấy.",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
5429,envitech_reasoning,The model sometimes produces 'bơ' (nonsense) predictions for out-of-distribution inputs.,Mô hình đôi khi tạo ra dự đoán 'bơ' (vô nghĩa) cho các đầu vào nằm ngoài phân phối.,language_suspect,ai_ml,audit_flag_manual_review:language_suspect,reject,,
8277,envitech_reasoning,"I heard they had a huge fight last night, it got pretty gắt.","Tôi nghe nói tối qua họ cãi nhau to lắm, căng thẳng phết.",language_suspect,,audit_flag_manual_review:language_suspect,reject,,
8528,envitech_reasoning,This bug is really _gắt_ (annoying/tough to fix).,Lỗi này thật sự gắt (khó chịu/khó sửa).,language_suspect,,audit_flag_manual_review:language_suspect,reject,,
8529,envitech_reasoning,I'm totally _bơ_ (lost/confused) with this new codebase.,Tôi hoàn toàn bơ (mất phương hướng/lạc lõng) với codebase mới này.,language_suspect,coding,audit_flag_manual_review:language_suspect,reject,,
