raw_row_index,en,vi
32178,Save All,Lưu & tất cả
13144,Get new color schemes from the Internet,Bộ màu
25994,Pes,Ghi chú
31275,New & Group...,Tên
40232,7.0,7. 0
7487,Archive %1,Kho lưu% 1
32714,Extract Archive To...,Name=Phá nén vào... Name
32246,Behavior on Application Startup,Cư xử khi khởi chạy
33294,Multiple Arrow shape 2,Hình nhiều mũi tên 2Stencils
28364,The group where the contact resides,Name
39157,Command:,& Lệnh:
36339,Bilinear interpolation,Độ phân giải:
17928,Tips,Mách nước
15406,Show expanded service info,Hiển thị thông tin dịch vụ mở rộng
4419,1 Day,1 ngày
2174,Refocus,Điều chỉnh lại tiêu điểm
12151,(# will be replaced by ascending numbers),(# bị thay thế bằng số tăng dần)
38997,Description:,Mô tả:
37608,& View,& Xem
15750,Your names,Phan Vĩnh ThịnhEMAIL OF TRANSLATORS
40454,6.800,6. 800
35056,Enable & image positioning,Bật định & vị trí ảnh
12902,Axes:,Trục:
12913,Your names,Phan Vĩnh ThịnhEMAIL OF TRANSLATORS
26301,MediumSeaGreen,Xanh dương xám vừacolor
2666,No Profile Available,Không có sẵn hồ sơ...
12637,The automatically generated crash information does not contain enough information to be helpful.,@ info
10189,Spell Checker,Comment
2608,Set this option to configure how sidebar tab titles are visible.,Bật tùy chọn này để hiển thị kích cỡ của tập tin ảnh.
1863,Blue Jean,Vải chéo go xanh
