raw_row_index,source_short_name,en_clean,vi_clean,audit_flags,suggested_it_subdomain,suggested_reason,manual_decision,manual_it_subdomain,manual_note
186,kde4,& Help,NAME OF TRANSLATORS,language_suspect,ui_localization,audit_flag_manual_review:language_suspect,reject,,
416,kde4,HTML tidy results:,"% 1 is the error count string,% 2 the warning count string,% 3 the accessibility warning string",language_suspect; extreme_length_ratio,ai_ml,audit_flag_manual_review:extreme_length_ratio;language_suspect,reject,,
417,kde4,"Page: %1, %2, %3","% 1 is the error count string,% 2 the warning count string",language_suspect,ui_localization,audit_flag_manual_review:language_suspect,reject,,
418,kde4,"Page: %1, %2","% 1 is the HTML frame name,% 2 is the error count string,% 3 the warning count string,% 4 the accessibility warning string",language_suspect; extreme_length_ratio,ai_ml;hardware,audit_flag_manual_review:extreme_length_ratio;language_suspect,reject,,
419,kde4,"Frame '%1 ': %2, %3, %4","% 1 is the HTML frame name,% 2 is the error count string,% 3 the warning count string",language_suspect,ai_ml;hardware,audit_flag_manual_review:language_suspect,reject,,
431,kde4,Message,NAME OF TRANSLATORS,language_suspect,ui_localization,audit_flag_manual_review:language_suspect,reject,,
462,kde4,Manage your photographs like a professional with the power of open source,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
464,kde4,A download from a camera or other device has finished.,Name,extreme_length_ratio,hardware,audit_flag_manual_review:extreme_length_ratio,reject,,
466,kde4,A queue in the batch queue manager has been completed.,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
467,kde4,Update of fingerprint database complete,Comment,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
468,kde4,The update of the fingerprint database has been completed.,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
469,kde4,Update of thumbnails database complete,Comment,extreme_length_ratio,ai_ml,audit_flag_manual_review:extreme_length_ratio,reject,,
470,kde4,The update of the thumbnails database has been completed.,Name,extreme_length_ratio,ai_ml,audit_flag_manual_review:extreme_length_ratio,reject,,
471,kde4,Synchronization of images' metadata with database completed,Comment,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
472,kde4,The synchronization of the images' metadata with the database has been completed.,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
508,kde4,Lens aberrations correction tools,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
532,kde4,Photo Viewer and Editor,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
533,kde4,Download Photos with digiKam,Name,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
537,kde4,A Nepomuk service that syncs with digikam,Name,extreme_length_ratio,system,audit_flag_manual_review:extreme_length_ratio,reject,,
843,kde4,Dropped v3 tables,"""relative path"" on harddisk partition with ""UUID""",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
844,kde4,"Folder ""%1"" on the volume with the id ""%2""","""relative path"" on harddisk partition with ""label""",language_suspect,hardware,audit_flag_manual_review:language_suspect,reject,,
1101,kde4,"Perceptual intent causes the full gamut of the image to be compressed or expanded to fill the gamut of the destination device, so that gray balance is preserved but colorimetric accuracy may not be preserved. In other words, if certain colors in an image fall outside of the range of colors that the output device can render, the image intent will cause all the colors in the image to be adjusted so that the every color in the image falls within the range that can be rendered and so that the relationship between colors is preserved as much as possible. This intent is most suitable for display of photographs and images, and is the default intent. Absolute Colorimetric intent causes any colors that fall outside the range that the output device can render to be adjusted to the closest color that can be rendered, while all other colors are left unchanged. This intent preserves the white point and is most suitable for spot colors (Pantone, TruMatch, logo colors,....) Relative Colorimetric intent is defined such that any colors that fall outside the range that the output device can render are adjusted to the closest color that can be rendered, while all other colors are left unchanged. Proof intent does not preserve the white point. Saturation intent preserves the saturation of colors in the image at the possible expense of hue and lightness. Implementation of this intent remains somewhat problematic, and the ICC is still working on methods to achieve the desired effects. This intent is most suitable for business graphics such as charts, where it is more important that the colors be vivid and contrast well with each other rather than a specific color.","Ý định dựa vào nhận thức gây ra toàn bộ ảnh được nén hay mở rộng để chiếm toàn bộ thiết bị đích, để bảo tồn cán cân xám còn có thể không bảo tồn độ chính xác đo màu. Tức là nếu một số màu sắc nào đó trong ảnh nằm ở ngoại phạm vi màu sắc mà thiết bị xuất có thể vẽ, ý định hình sẽ gây ra tất cả các màu sắc trong ảnh được điều chỉnh để mọi màu trong ảnh nằm trong phạm vi có thể được vẽ, và quan hệ giữa màu khác nhau được bảo tồn càng nhiều càng có thể. Ý định này thích hợp khi hiển thị ảnh chụp và ảnh, và là ý định mặc định. Ý định đo màu tuyệt đối gây ra màu nào nằm ở ngoại phạm vi mà thiết bị xuất có thể vẽ sẽ được điều chỉnh thành màu gần nhất có thể được vẽ, còn để lại các màu khác không được thay đổi. Ý định này bảo tồn điểm màu trắng và là rất thích hợp với màu sắc chấm (Pantone, TruMatch, màu sắc biểu hình...). Ý định đo màu tương đối được xác định để cho màu nào nằm ở ngoại phạm vi mà thiết bị xuất có thể vẽ sẽ được điều chỉnh thành màu gần nhất có thể được vẽ, còn để lại các màu khác không được thay đổi. Ý định kiểm lỗi không bảo tồn điểm màu trắng. Ý định độ bão hoà bảo tồn độ bão hoà của màu sắc trong ảnh trả giá bằng sắc màu và độ nhạt. Chưa thực hiện được ý định này, và ICC vẫn còn phát triển phương pháp tạo hiệu ứng đã muốn. Ý định này thích hợp nhất với đồ họa doanh nghiệp như sơ đồ, trong đó quan trọng hơn có màu sắc sặc sỡ và tương phản nhau, hơn là một màu sắc riêng có chất lượng cao.",very_long_pair,ai_ml;hardware;ui_localization,audit_flag_manual_review:very_long_pair,approve,,
1233,kde4,Initializing database,Đang đọc cơ sở dữ liệu... This is the slogan formated string displayed in splashscreen. Please translate using short words else the slogan can be truncated.,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
1296,kde4,& Average,Trung bìnhSelects the date of the newest image,extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio,reject,,
1308,kde4,%1,% 1% 1: digiKam version;% 2: help: // URL;% 3: homepage URL;% 4: prior digiKam version;% 5: prior KDE version;% 6: generated list of new features;% 7: First- time user text (only shown on first start);% 8: generated list of important changes; --- end of comment ---,language_suspect; extreme_length_ratio,ui_localization,audit_flag_manual_review:extreme_length_ratio;language_suspect,reject,,
1507,kde4,(%1 of %2),(% 1 of% 2),language_suspect,ui_localization,audit_flag_manual_review:language_suspect,reject,,
1694,kde4,& Scale to:,"Dimension separator, as in: '15 x 10 centimeters'",language_suspect,ui_localization,audit_flag_manual_review:language_suspect,reject,,
1786,kde4,Size,CỡThis is a column which will contain the amount of HotPixels found in the black frame file,extreme_length_ratio,ai_ml;hardware,audit_flag_manual_review:extreme_length_ratio,reject,,
1944,kde4,"Select the blurring effect to apply to image. Zoom Blur: blurs the image along radial lines starting from a specified center point. This simulates the blur of a zooming camera. Radial Blur: blurs the image by rotating the pixels around the specified center point. This simulates the blur of a rotating camera. Far Blur: blurs the image by using far pixels. This simulates the blur of an unfocalized camera lens. Motion Blur: blurs the image by moving the pixels horizontally. This simulates the blur of a linear moving camera. Softener Blur: blurs the image softly in dark tones and hardly in light tones. This gives images a dreamy and glossy soft focus effect. It is ideal for creating romantic portraits, glamour photographs, or giving images a warm and subtle glow. Shake Blur: blurs the image by shaking randomly the pixels. This simulates the blur of a random moving camera. Focus Blur: blurs the image corners to reproduce the astigmatism distortion of a lens. Smart Blur: finds the edges of color in your image and blurs them without muddying the rest of the image. Frost Glass: blurs the image by randomly disperse light coming through a frosted glass. Mosaic: divides the photograph into rectangular cells and then recreates it by filling those cells with average pixel value.","Ở đây hãy chọn hiệu ứng che mờ cần áp dụng cho ảnh. Che mờ thu phóng: che mờ ảnh theo đường xuyên tâm bắt đầu từ một điểm trung tâm đã xác định. Hiệu ứng này mô phỏng che mờ của máy ảnh thu phóng. Che mờ xuyên tâm: che mờ ảnh bằng cách dùng điểm ảnh xa. Hiệu ứng này mô phỏng che mờ của ống kính máy ảnh mờ mờ không rõ nét. Che mờ chuyển động: che mờ ảnh bằng cách di chuyển những điểm ảnh theo chiều ngang. Hiệu ứng này mô phóng che mờ của máy ảnh di chuyển tuyến. Che mờ làm mềm: che mờ ảnh một cách mềm bằng sắc màu tối và một cách cứng bằng sắc màu nhạt. Nó cho ảnh có hiệu ứng tiêu mềm bóng loáng như trong giấc mơ. Nó rất thích hợp với công việc tạo ảnh chân dung mơ mộng, ảnh chụp đẹp say đắm hay cho ảnh ánh sáng rực rỡ ấm và tế nhị. Che mờ rung: che mờ ảnh bằng cách rung ngẫu nhiên các điểm ảnh. Hiệu ứng này mô phỏng che mờ của máy ảnh di chuyển ngẫu nhiên. Che mờ tiêu: che mờ các góc của ảnh để tạo lại sự méo mó loạn thị của ống kính. Che mờ thông minh: tìm các cạnh của màu trong ảnh và che mờ chúng mà không làm vẩn đục phần còn lại của ảnh. Kính phủ sương giá: che mờ ảnh bằng cách rải rắc ngẫu nhiên ánh sáng đến qua kính phủ sương giá. Khảm: chia ảnh chụp ra ô hình chữ nhật rồi tạo lại nó bằng cách tô đầy những ô bằng giá trị điểm ảnh trung bình.",very_long_pair,ai_ml,audit_flag_manual_review:very_long_pair,approve,,
