raw_row_index,source_short_name,en_clean,vi_clean,audit_flags,suggested_it_subdomain,suggested_reason,manual_decision,manual_it_subdomain,manual_note
55,tech_viet_translation,Ford's 'multi-energy' Super Duty trucks could mean electrification is on the way,"Trên đường làm cho các loại xe ô tô không còn phụ thuộc vào dầu mỏ, Ford đang tiến tới một tương lai trong đó các loại xe tải nặng của hãng sẽ không chỉ chạy bằng dầu, mà còn có khả năng sử dụng các loại nhiên liệu khác nhau. Ví dụ mới nhất là việc hãng xe Mỹ bắt đầu xem xét việc sử dụng nhiên liệu sinh học trong các loại xe tải Super Duty của hãng, như một phương án thay thế cho nhiên liệu hóa thạch. Đó là lý do tại sao các loại xe tải Super Duty mới của hãng, được gọi là 'multi-energy', có khả năng chạy bằng cả dầu và các loại nhiên liệu khác, bao gồm cả dầu sinh học. Trong bài phát biểu tại triển lãm ô tô liên quân ở Detroit, thủ lĩnh của hãng nói rằng các loại xe tải Super Duty mới của hãng sẽ được trang bị hệ thống động cơ có thể sử dụng nhiều loại nhiên liệu khác nhau, bao gồm cả dầu sinh học",extreme_length_ratio,ai_ml;system,audit_flag_manual_review:extreme_length_ratio,reject,,
70,tech_viet_translation,Tracking the EV battery factory construction boom across North America,"The global demand for electric vehicles (EVs) is soaring, driving the construction boom in battery factories across North America. Companies like Tesla, LG, and Panasonic are investing billions of dollars in new facilities to meet the growing demand for EV batteries. These battery factories are playing a crucial role in the transition to a sustainable future by providing the necessary batteries for electric vehicles, which help reduce greenhouse gas emissions and combat climate change",language_suspect; extreme_length_ratio,ai_ml;command_cli,audit_flag_manual_review:extreme_length_ratio;language_suspect,reject,,
1640,tech_viet_translation,EV charging problems deepen as Chinese consumer confidence wavers: McKinsey,McKinsey,extreme_length_ratio,documentation,audit_flag_manual_review:extreme_length_ratio,reject,,
1878,tech_viet_translation,SAIC premium EVs will use NIO charging tech in partnership between rival makers,"Xe điện hạng sang của SAIC sẽ sử dụng công nghệ sạc của NIO trong thỏa thuận giữa các đối thủ Trong đoạn này, SAIC là công ty ô tô có trụ sở tại Trung Quốc, và NIO là công ty công nghệ sạc ô tô cũng có trụ sở tại Trung Quốc. Cả hai công ty đều có mối quan hệ đối thủ trong ngành công nghiệp ô tô. Tuy nhiên, trong thỏa thuận này, SAIC sẽ sử dụng công nghệ sạc của NIO cho các phương tiện điện hạng sang của mình",extreme_length_ratio,ai_ml,audit_flag_manual_review:extreme_length_ratio,reject,,
2028,tech_viet_translation,"Galaxy Z Fold 6 Review: Genuinely good, especially if you ignore the competition",Tất cả đoạn văn,extreme_length_ratio,documentation,audit_flag_manual_review:extreme_length_ratio,reject,,
2058,tech_viet_translation,"EA’s return to College Football is a hit, over 2M players pre-launch","EA's return to College Football is a hit, over 2M players pre-launch",language_suspect,documentation,audit_flag_manual_review:language_suspect,reject,,
2080,tech_viet_translation,Elon Musk’s X tests letting users request Community Notes on bad posts,Elon Musk's X tests allowing users to request Community Notes on bad posts,language_suspect,documentation,audit_flag_manual_review:language_suspect,reject,,
2219,tech_viet_translation,The best educational toys for kids,None,extreme_length_ratio,documentation,audit_flag_manual_review:extreme_length_ratio,reject,,
2274,tech_viet_translation,Here are 10 features to try first with iPadOS 18 public beta [Video],Dưới đây là 10 tính năng thử trước với bản beta công khai của iPadOS 18. 1. Trình duyệt trình duyệt mới 2. Cải thiện hiệu suất 3. Tăng khả năng sử dụng màn hình 4. Tăng khả năng tương tác giữa các ứng dụng 5. Tăng cường tính năng nhập văn bản 6. Tăng cường tính năng lưu trữ 7. Cải thiện khả năng sử dụng trong các ứng dụng 8. Tăng khả năng truy cập 9. Tăng khả năng sử dụng trong các ứng dụng 10. Tăng khả năng sử dụng trong các ứng dụng,extreme_length_ratio,ai_ml,audit_flag_manual_review:extreme_length_ratio,reject,,
2331,tech_viet_translation,Apple TV+ shows and movies: Everything to watch on Apple TV Plus,None,extreme_length_ratio,documentation,audit_flag_manual_review:extreme_length_ratio,reject,,
